count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
385,2023-04-24,507,104128,МО Протвино Северный пр 2,54.879907,37.214092
348,2023-04-24,507,158162,МСК 3-я Нововатутинская 13к2,55.518306,37.345124
268,2023-04-24,507,101345,МО Кашира Новая 11,54.828653,38.145617
487,2023-04-24,507,101819,МСК Москворечье 4к6,55.643477,37.654847
244,2023-04-24,507,204088,МСК Шипиловская 1,55.618054,37.697361
688,2023-04-24,507,3975,МСК Вешних Вод 2к2,55.85712441,37.69846124
462,2023-04-24,507,102789,МСК Новокуркинское шоссе 43,55.903176,37.388457
531,2023-04-24,507,3616,МО Красноармейск Чкалова 12,56.10287668,38.13139792
266,2023-04-24,507,1055,МСК Аэродромная 18,55.849014,37.432816
242,2023-04-24,507,2332,Балашиха Главная 22А,55.746127,37.990966
348,2023-04-24,507,584,МСК Боровское шоссе 20,55.64877757,37.36905542
570,2023-04-24,507,5027,МО дач пос Красково 2-я Заводская 16,55.662026,37.974979
185,2023-04-24,507,106899,МО рп Северный Калинина 9,56.728279,37.620141
519,2023-04-24,507,2896,МСК Щёлковское шоссе 12к3,55.805465,37.769287
514,2023-04-24,507,105091,МО Королёв Пионерская 12,55.913071,37.816826
447,2023-04-24,507,168233,МСК пр-кт Куприна 40к2,55.539834,37.451734
415,2023-04-24,507,139,МО Серпухов Ворошилова 57,54.9173725,37.41973164
371,2023-04-24,507,3604,МО Одинцово Можайское шоссе 80Б,55.68383465,37.29840207
350,2023-04-24,507,5354,МО рп Большие Вязёмы Можайское шоссе 6,55.62946068,37.00428358
235,2023-04-24,507,105492,МО Дмитров ДЗФС 38,56.366985,37.539834
409,2023-04-24,507,111877,МСК Моршанская 4,55.696245,37.856549
295,2023-04-24,507,104477,МО Коломна Зелёная 1,55.08075,38.763498
735,2023-04-24,507,259,МСК Доватора 6/6к8,55.723962,37.568408
508,2023-04-24,507,2008,МСК Зеленоград к848А,55.978025,37.186489
514,2023-04-24,507,109152,МО Лобня пр Шадунца 7,56.019988,37.481754
207,2023-04-24,507,161047,МСК Ягодная 8к3,55.575078,37.674346
1337,2023-04-24,507,5568,МСК Медынская 5Ак1,55.59048883,37.6475374
438,2023-04-24,507,102833,МСК Окская 2,55.710048,37.748564
312,2023-04-24,507,113588,МО Протвино пр Архитектора Корина 12,54.875166,37.219405
617,2023-04-24,507,130129,МО Красногорск Ленина 26А,55.831221,37.302408
1151,2023-04-24,507,110986,МСК Бирюлёвская 15,55.596297,37.663446
26,2023-04-24,507,202486,МО с Успенское Советская 22к4,55.71555,37.066707
